n,comps_QS,swaps_QS,comps_MS,swaps_MS,comps_HS,swaps_HS
100,423,167,539,1344,1034,579
200,1195,380,1299,3088,2462,1354
300,2109,597,2098,4976,4030,2207
400,2609,830,2973,6976,5730,3135
500,4490,1044,3868,8976,7452,4045
600,3795,1323,4800,11152,9254,5009
700,4766,1592,5739,13352,11140,6024
800,5694,1865,6726,15552,13022,7028
900,7105,2115,7731,17752,14938,8040
1000,7162,2400,8723,19952,16878,9094
1100,8640,2658,9745,22304,18810,10142
1200,9660,2911,10771,24704,20918,11239
1300,10325,3238,11872,27104,23006,12337
1400,11955,3459,12908,29504,24994,13407
1500,10745,3790,13930,31904,27160,14543
1600,13360,4009,15091,34304,29262,15702
1700,13792,4308,16139,36704,31316,16731
1800,13805,4687,17173,39104,33478,17924
1900,14564,5001,18315,41504,35572,19012
2000,15918,5285,19416,43904,37662,20128
2100,17579,5601,20557,46408,39832,21305
2200,20465,5728,21685,49008,42100,22493
2300,17225,6283,22778,51608,44274,23637
2400,20985,6370,23968,54208,46592,24837
2500,21538,6694,25150,56808,48864,26035
2600,22422,7046,26243,59408,51136,27254
2700,25721,7387,27451,62008,53342,28351
2800,23987,7751,28565,64608,55612,29635
2900,34194,7794,29767,67208,57966,30839
3000,25772,8276,30951,69808,60384,32165
3100,26623,8651,32048,72408,62648,33315
3200,28888,8907,33303,75008,64818,34497
3300,28991,9256,34440,77608,67212,35734
3400,32087,9589,35613,80208,69500,36923
3500,29593,9921,36846,82808,71658,38119
3600,37247,10115,38069,85408,74056,39378
3700,32251,10672,39217,88008,76374,40544
3800,35434,10695,40388,90608,78820,41919
3900,37034,11084,41620,93208,81132,43100
4000,36462,11430,42773,95808,83374,44254
4100,39321,11753,44054,98416,85742,45460
4200,40154,12185,45259,101216,88218,46831
4300,43622,12403,46456,104016,90630,48102
4400,44219,12707,47709,106816,93006,49335
4500,41343,13240,48965,109616,95504,50680
4600,44283,13421,50245,112416,97924,51928
4700,48125,13582,51479,115216,100304,53194
4800,44249,14152,52781,118016,102914,54575
4900,47591,14456,54006,120816,105336,55839
5000,44048,14985,55151,123616,107636,57044
5100,51418,15001,56409,126416,110252,58452
5200,55018,15307,57717,129216,112734,59807
5300,53513,15834,59038,132016,115122,60986
5400,59239,16033,60319,134816,117576,62272
5500,59516,16377,61489,137616,120076,63611
5600,53269,16762,62664,140416,122644,64992
5700,66708,16778,64089,143216,125162,66260
5800,55658,17533,65365,146016,127392,67504
5900,54969,17977,66645,148816,129960,68830
6000,68399,17778,67840,151616,132616,70185
6100,57288,18644,69142,154416,135110,71516
6200,57476,19015,70422,157216,137466,72710
6300,60831,19272,71628,160016,139960,74044
6400,69819,19266,72948,162816,142456,75397
6500,62319,19910,74145,165616,145076,76768
6600,69876,19887,75417,168416,147378,77940
6700,72761,20446,76832,171216,150000,79360
6800,75443,20526,78083,174016,152648,80688
6900,83923,20850,79416,176816,155014,81979
7000,74269,21163,80551,179616,157456,83260
7100,68969,22142,81980,182416,160020,84646
7200,74334,22167,83255,185216,162602,85944
7300,72206,22622,84502,188016,165100,87334
7400,68549,23138,85786,190816,167648,88701
7500,88396,22780,87124,193616,170202,89991
